,wine_notes_clean
1534,A sleek minerally white with well cut acidity defining flavors of white peach pine and preserved lemon showing a rich hint of passion fruit coulis Fine and creamy offering a lasting finish Drink now through cases made cases imported
1535,The core black cherry and blackberry flavors are shaded by iron petrol and tar elements with wild Tuscan scrub accents This is powerful and tannic and needs some time to integrate Best from through cases imported
1536,Dynamic yet harmonious with expressive raspberry and rose petal aromas accented by flavors of orange peel and dusky spice Builds richness toward polished tannins Drink now through cases made
1537,This brawny red shows a savory character with loamy earth black tea and tobacco notes framing a rich core of currant and blackberry flavors The muscular tannins are balanced by juicy acidity Dense balanced and expressive Monastrell Cabernet Sauvignon and Syrah Drink now through cases made cases imported
1538,Expressive and harmonious this red exhibits cherry blackberry violet and mineral aromas and flavors Pure and elegant with an underlying tension and intensity that drives the lingering aftertaste of fruit stone and earth showing a hint of wild herbs Sangiovese Canaiolo Mammolo and Colorino Best from through cases made cases imported
1539,Shows ample torque at the core wrapped in multilayered flavors of blueberry and cherry accented by licorice garrigue and crushed rock notes finishing with brooding yet polished tannins Drink now through cases made
1540,Shows terrific concentration with dense and chewy tannins providing an appealing backdrop to the blueberry dried cherry date and candied ginger flavors Tobacco tomato leaf and espresso notes linger on the finish Drink now through cases imported
1541,A sumptuous and rich style with vibrant Asian pear fresh yeast roll and spiced nut flavors taking on a steely structure on the long finish Drink now cases made
1542,Offers a smoky aroma with refined raspberry and red currant flavors backed by crunchy acidity Savory midpalate with a fine grained finish that offers black licorice and tar notes Drink now through cases made cases imported
1543,Luscious rich and full of creamy white fruit flavors flanked by buttery accents Spicy plushness lingers into the finish with some honeyed notes Drink now through cases made
1544,Juicy and compact featuring dark plum and blackberry fruit flavors wrapped in sweet tobacco and licorice root notes Shows a tarry edge on the finish Drink now through cases made cases imported
1545,Firm showing off the region s signature fresh herbal notes which give this aromatic lift and linger on the finish Bay leaf rosemary and cedar details are effortlessly infused into the cassis and plum flavors A hint of black tea adds to the complexity as does the seamlessness of the velvety tannins Drink now through cases made cases imported
1546,High toned black currant black cherry and violet aromas and flavors are accented by vanilla and toast notes in this suave red Supple and intense with a lingering aftertaste of dark fruit licorice and spice Drink now through cases made cases imported
1547,Fine grained red fruit and berry flavors are refined and etched with rich spice and sandalwood accents The juicy finish lingers with vibrant minerality and hot stone notes Complex and elegant exhibiting a vibrant balance Drink now through cases made
1548,Broad and rich this Chianti Classico boasts black cherry blackberry violet and woodsy underbrush notes Turns taut and sinewy flexing tannic might on the finish Food or a little bottle age will help Best from through cases made cases imported
1549,A snappy and juicy version with melon grapefruit and lemon drop flavors that are well structured Zesty acidity lingers into the well spiced finish Drink now cases made cases imported
1550,Rich and contoured with ferrous notes to the well structured red currant dark cherry and dried blackberry flavors Supple minerality shows on the spicy finish where light creamy accents linger Best from through cases made
1551,Searing acidity flows behind the notes of glazed pear fig and quince with hints of blanched almond echoing Silky in texture with a savory mineral crunch this gets a bit tight midpalate but the acidity takes over and keeps this going on the long spice infused finish Could work now with the right food but better to wait a bit Best from through cases imported
1552,A knockout example of Dry Creek Zin this is briary yet polished and refined with lively raspberry grilled anise and cracked pepper flavors that build power and tension toward broad shouldered tannins Drink now through cases made
1553,Bursting with sweet ripe cherry and plum fruit this Gattinara also evokes salty licorice loam leather and rose hip notes Firm and balanced with a minerally aftertaste Drink now through cases made cases imported
1554,The deep rusty color announces that this is not a typical ros Distinctive offering tangy acidity and light firm tannins that frame the rich texture giving this plenty of structure for food Orange peel tarragon iodine and beeswax notes frame the dried cherry and tangerine flavors Unique Garnacho Tempranillo and Viura Drink now through cases made
1555,Explosively fruity aromas and flavors of blackberry dark cherry and plum tart are creamy and filled with rich savory and cooking spice accents Powerfully structured showing dark chocolate and mocha on the finish with hints of dried mint Drink now through cases made cases imported
1556,This starts slowly with black tea and sunbaked loam aromas leading off followed by a deep well of black currant fig and blackberry preserve flavors that form the core From there iron and espresso cream threads line the finish where the fruit drips slowly and the aromas linger seductively This will be a slow burn Cabernet Sauvignon Merlot and Cabernet Franc Best from through cases made
1557,Distinctive with blueberry and a a berry fruit flavors infused liberally with sassafras bay leaf and sweet spice notes A beautiful rendition of mountain fruit laced with racy acidity and carried by smoldering tannins Shows impressive detail and energy for a Best from through cases made
1558,This displays intensity and precision with notes of fleur de sel and sage underscoring grapefruit and white peach flavors Shows a bit of crunch in texture Long inviting and quite balanced Drink now through cases made cases imported
1559,A rich medium to full bodied red in a well tailored frame knitting saturated flavors of crushed boysenberry pomegranate black licorice toast and spice to fine grained tannins and a graphite laced underpinning that echoes on the finish Montepulciano and Sangiovese Best from through cases made cases imported
1560,Pure tasting red currant and raspberry flavors are supported by crunchy acidity in this juicy style Mineral and white pepper accents show midpalate with freshly crushed cooking spice details on the finish Drink now through cases imported
1561,An atypical version with a gorgeous mix of orchard blossom yellow apple and elderflower flavors showing hints of lemon Elegant yet very expressive driven by vibrant acidity and a minerally backbone Turns savory on the well defined finish Drink now through cases made cases imported
1562,Opens with supple and expressive red currant green olive and clove flavors then shifts gears and takes on increasingly muscular yet polished tannins on the long finish Merlot Cabernet Sauvignon Cabernet Franc and Petit Verdot Drink now through cases made
1563,Sleek and vibrant with snappy raspberry and red plum flavors accented by sweet basil and spice and finishing with fine grained tannins Drink now through cases made
1564,A lovely hint of honeysuckle accents the flavors of mirabelle plum white cherry anise and grated ginger in this vibrant Champagne which is finely knit and detailed in texture with a mouthwatering finish of ripe fruit spice and chalk accents Disgorged November Drink now through cases made cases imported
1565,Succulent and refreshing with Key lime preserved ginger and green apple candy flavors that are intense and focused Reveals a hint of toasted green tea on the juicy finish Drink now cases made cases imported
1566,A dark and winey style offering a mix of plum black currant and black cherry notes infused with black tea fruitcake and anise accents Solidly built vibrant and energetic from start to finish this carries copious fruit easily through the lengthy finish Grenache Cinsault Syrah Mourv dre and Counoise Best from through cases imported
1567,This offers blackberry boysenberry and a a berry compote flavors that sparkle with anise sassafras and sage accents Shows serious tarry grip but that recedes into the fruit as this airs in the glass leaving embers of singed juniper and alder at the very end Best from through cases made
1568,Sandalwood inflected dried cherry and berry flavors are filled with sanguine richness The lusciously spiced finish features a creamy texture Drink now through cases made cases imported
1569,Svelte and finely knit this vivid white is driven by both its minerally underpinning and its rapierlike acidic frame components well meshed with the pleasing range of pink grapefruit sorbet nectarine and grated ginger notes plus a touch of almond skin that imparts a light tactile sensation to the racy finish Drink now through cases made cases imported
1570,Elegant with dark plum and currant notes that are lively and balanced due to a bright beam of acidity and soft tannins lending support and depth Not a big Cabernet but one that would pair well with a variety of foods Best from through cases made cases imported
1571,A spry and appealing red with lively black cherry and dried sage flavors that add richness toward fine grained tannins Drink now through cases made
1572,Ruby grapefruit passionfruit and green apple flavors are vibrant and expressive on a juicy frame Shows off terrific transparency to the fruit flavors and a long finish where a touch of Dragonwell green tea peeks through Drink now cases made cases imported
1573,A minerally version creamy and medium bodied with tangy acidity and a zesty edge to the flavors of poached pear apricot tart and anise showing a hint of toasted almond that echoes on the finish Drink now through cases imported
1574,A whiff of white pepper and bay leaf gives way to bright raspberry and currant flavors backed by tangy acidity along with details of game anise and tea that add depth and interest Powerful but inviting Mourv dre and Grenache Drink now through cases made
1575,Apricot and tangerine flavors are set on the fine mousse of this expressive Cava layered with hints of pastry cream toasted almond and candied ginger Fresh and zesty on the lingering finish Drink now through cases made cases imported
1576,Distinctive with vibrant flavors of violet juniper and anise out front backed by a core of intense dark currant plum and cherry fruit Firmly grounded showing serious cut and drive through the bay leaf and sage accented finish which sports ample toast alongside the fruit and floral elements A chiseled ripped Cabernet for the cellar Cabernet Sauvignon Merlot Petit Verdot and Cabernet Franc Best from through cases made
1577,Very pure with clearly defined plum blackberry and black cherry preserve flavors gliding through gently infused with anise and black tea details along the way The fruit is so seductive you might miss the sneaky graphite edged grip that builds through the finish promising solid cellaring potential Merlot Cabernet Sauvignon and Cabernet Franc Best from through cases made
1578,Supple and elegantly layered with pretty raspberry spiced cinnamon and black tea flavors that flesh out on a long finish Drink now through cases made
1579,Rich with flint and sea salt notes to the dried fig quince and preserved lemon flavors followed by egg cream accents on the well spiced finish Drink now through cases made
1580,Juicy energy ripples from start to finish with gooseberry yellow apple chamomile tarragon and verbena notes giving this a tangy and flattering character Reveals a long salted butter edge on the finish Lovely now but will fan out and become plumper with time Sauvignon Blanc S millon and Sauvignon Gris Best from through cases made
1581,Well balanced and fresh this medium bodied red features a thread of ground spice that underscores flavors of crushed black raspberry cherry thyme and red licorice Light tannins sculpt the clean cut finish Drink now through cases imported
1582,Glossy full tannins encase the brooding layers of dark cherry reduction and steeped currant infused with sandalwood anise and mocha details This has nice elegance despite the power with black tea and floral notes chiming in on the finish Kosher Drink now through cases made cases imported
1583,Very bright and engaging style with a flurry of honeysuckle and acacia notes out front followed quickly by lively white peach Jonagold apple and star fruit flavors Light quinine inlay adds an extra note of intrigue Lovely Drink now through cases made
1584,Quite juicy with wild cherry hibiscus and black tea notes that are in good harmony supported by light tannins and prominent acidity Offers a beautiful mouthfeel that coats the palate and invites you back for another sip Drink now through cases imported
1585,Lively acidity cuts through the bright cherry and currant notes of this mouthwatering red showing details of white pepper wet stone and dried herb that dovetail onto the finish Offers light integrated tannins with great energy and focus throughout Drink now through cases imported
1586,A generous harmonious red boasting steeped cherry blackberry coulis and cedar flavors that meld into violet black tea and graphite accents Details of olive wild herb and ripe currant play into the finish Powerful and refined Best from through cases made cases imported
1587,Svelte and seamlessly complex featuring refined cherry and blueberry flavors with hints of lead pencil and spice that build energy toward polished tannins Cabernet Franc Merlot and Cabernet Sauvignon Drink now through cases made
1588,This packs in some bramble black cherry and blackberry fruit flavors harnessing them with a singed alder frame and keeping them moving along with fresh acidity Cabernet Sauvignon Merlot and Petit Verdot Drink now through cases made
1589,A very expressive medium bodied version with lots of flesh offset by powerful acidity that gives this ample energy and drive Notes of jasmine hops yellow plum and kumquat impart charm midpalate while hints of shaved ginger and lemon oil linger on the long well defined finish Best from through cases made cases imported
1590,This focused red delivers smoke and mineral undertones flanking the plum and currant flavors backed by moderate tannins Accents of bay leaf spice violet and black licorice create depth and interest through the energetic finish Malbec and Merlot Drink now through cases made cases imported
1591,A ripe and juicy note of Jonagold apple is layered with hints of beeswax chive blossom and almond skin in this well cut medium bodied white which is lightly chalky in texture with a saline laced finish Drink now through cases made cases imported
1592,This is laden with cassis and warmed plum compote notes infused liberally with violet and anise accents Gains depth and richness with air yet maintains a racy edge due to its mouthwatering acidity and perfectly embedded chalky spine on the finish Merlot and Cabernet Franc Best from through Tasted twice with consistent notes cases made
1593,Yellow apple ripe Bartlett pear and tangerine flavors are pure and lush set on a medium frame with crisp acidity Shows impressive focus and purity of flavor Fresh finish Drink now cases made
1594,Precision and purity are the hallmarks of this taut linear red Wild strawberry cherry stony mineral and earth notes are finely woven into the dense texture Vibrant acidity drives the lingering finish Best from through cases made cases imported
1595,A subtly perfumed floral nose of jasmine and chive blossom draws you into the glass of this creamy light to medium bodied white where mouthwatering acidity and finely knit flavors of nectarine lemon curd and stone await Drink now through cases made cases imported
1596,Blackberry and huckleberry flavors are concentrated and plump with appealing details of black tea clove and dried mint Firm tannins never get in the way firming up slightly on the finish Drink now cases made cases imported
1597,A bright and fresh style leading off with floral and bay leaf elements followed by brisk edged cassis and damson plum fruit flavors The racy mineral pierced finish shows good persistence Best from through cases made cases imported
1598,This bright and well knit red is medium to full bodied with pleasing tension and creamy tannins defining flavors of mulberry herbed olive and salty mineral Aromatic accents of wild sage and bergamot linger on the finish Drink now through cases made cases imported
1599,This combines power and grace with a ripe profile and lively acidity Flavors of cherry and currant harmonize with hints of loam underbrush and hibiscus tea Complex and fresh tasting but also firm this red is intriguingly long and inviting Blaufr nkisch Zweigelt and Pinot Noir Drink now through cases imported
1600,Maturing well this round red is a lovely example of the traditional style Orange peel dried cherry forest floor vanilla and black tea flavors mingle harmoniously over round tannins and citrusy acidity Generous but gentle lively balanced and harmonious Tempranillo and Mazuelo Drink now through cases made cases imported
1601,Powerful and structured with minerally richness to the fine edged red fruit and savory spice flavors The sleek finish offers impressive purity and clarity to the notes of hot stone flint and underbrush Best from through cases made
1602,Effusive aromas of black currant blueberry violet and iron mark this expressive red Supple and harmonious with a firm backbone of tannins that are refined and integrated Shows terrific length and complexity Best from through cases made cases imported
1603,This distinctive red throws a lot of wild sage herb and sassafras notes out first while the core of intense red currant damson plum and bitter cherry fruit waits its turn The vibrant structure is built on acidity pulling everything together through the iron streaked finish Should age wonderfully Best from through cases made
1604,A lush ripe style with a a berry blueberry and plum reduction notes giving this a slightly exotic bent while singed bay leaf worn leather and warm tar accents keep this grounded in a slightly old school way Displays ample heft yet energy ripples through the finish accompanied by lingering garrigue and tobacco echoes Best from through cases made cases imported
1605,Complex with crunchy acidity to the concentrated citrus and McIntosh apple flavors Intense minerality shows midpalate followed by a pure and powerful finish that lingers with dried savory herb and toasty hints Best from through cases made
1606,A stream of pure juicy cherry fruit is at the heart of this red along with mineral tobacco and wild herb notes Firm and tightly wound with a matrix of dense refined tannins for support All the elements are in the right proportions this just needs time Best from through cases made cases imported
1607,Very elegant and rich with concentrated kirsch dark plum and cherry tart flavors backed by medium grained tannins and fresh acidity Shows grip midpalate leading to a finish that turns creamy and plush primed with spicy richness and chocolate mousse accents Malbec Drink now through cases made
1608,A wine of presence and expression impeccably structured yet elegantly layered with evocative raspberry rose petal and brown baking spice notes that pick up richness and tension toward fine grained tannins Drink now through cases made
1609,This goes from zero to right out of the gate with an intense spine of acidity driving tightly meshed flavors of crushed black currant ground coffee candied grapefruit peel and toasted almond The profile expands on the palate carried by the fine raw silk like mousse Richly aromatic and expressive from start to lasting spiced finish Disgorged July Drink now through cases imported
1610,Enticing aromas of black cherry black currant and violet are allied to flavors of iron wet earth and spice in this red which is loaded with fruit vibrant acidity and well mannered tannins Shows terrific harmony now yet possesses the structure to age The long mouthwatering finish extends the dark fruit and mineral elements Best from through cases made cases imported
1611,The dense polished texture carries rich harmonious flavors in this elegant red Blackberry and currant notes mingle with espresso mineral licorice and spice accents Lovely floral hints emerge on the long clean finish Beautifully sculpted Drink now through cases made cases imported
1612,An impressive red of breadth and depth featuring black cherry plum leather earth iron and cedar aromas and flavors This is solidly built and well balanced with finely honed tannins and lively acidity providing backbone Best from through cases made cases imported
1613,Aromatic and expressive with raspberry cherry and fresh herb notes that are precise on a smooth and supple frame offering details of matcha green tea white pepper and forest floor A hint of fresh nutmeg lingers on the long expressive finish where the tannins provide a slight grip Drink now through cases made cases imported
1614,Powerful rich and complex with a refined mix of currant dark cherry and plum tart flavors backed by suave medium grained tannins Well defined slate and loamy notes stretch out nicely on the finish with black olive hints Drink now through cases made
1615,Offering cherry plum iron earth and floral aromas and flavors this is vibrant and beautifully balanced Well structured with the harmony and concentration to develop Best from through cases made cases imported
1616,Firm and shapely this white shows power and elegance The polished texture carries lively flavors of grapefruit quince tarragon and flint Electric acidity gives this energy Harmonious and long Drink now through cases made cases imported
1617,Stylish and memorable this white strikes an ideal balance between richness and vibrancy with a spicy smoky note of palo santo and a juicy crisp core of lemon curd orange sherbet and dried apricot flavors A touch of green tea lingers on the finish Drink now through cases made
1618,A wine with structure and presence buoyed by a complex backbone of minerality wrapped in refined dark cherry and black tea flavors and finishing with fine grained tannins Best from through cases made
1619,Flavors of black cherry and blackberry stand up to the dense tannins in this fresh deep and intense red but this is equally about the vibrant acidity driving the fruit wild herb nuances and spice infused aftertaste Sangiovese with Cabernet Franc Cabernet Sauvignon and Merlot Best from through cases made cases imported
1620,Lemon blossom Asian pear lime sherbet and candied orange peel notes are pure fragrant and juicy in this silky white with intensity and a lift of freshness on the finish from an accent of lemon verbena Drink now Tasted twice with consistent notes cases made
1621,Ripe and juicy in feel with a wound up core of raspberry black currant and cherry p te de fruit flavors waiting to stretch out while an undercurrent of alder tobacco and licorice root notes moves through Will be a winner when fully knit Best from through cases made cases imported
1622,Supple and succulent offering a generous and juicy mix of passion fruit Key lime and ruby grapefruit flavors Expressive and strong on the finish with touches of freshly grated ginger and green tea Drink now cases made cases imported
1623,Though rich this red offers bright acidity and dense tannins that lend a sense of tightness with pure cherry strawberry and floral flavors that are persistent from start to lingering finish where distinct spice and mineral elements play out Best from through cases made cases imported
1624,This plump red offers mulled cherry and plum flavors with notes of cinnamon sandalwood and cedar Light tannins are well integrated while orange peel acidity keeps this fresh and focused Harmonious and generous Tempranillo Mazuelo and Garnacha Drink now through cases made cases imported
1625,Verbena beeswax and matcha green tea notes give way to a succulent polished core of lemon curd lanolin and quince flavors Powerfully intense and focused but the mouthwatering acidity keeps the flavors vivid fresh and light footed Drink now cases made
1626,Precise and powerful with fleshy richness to the dark currant cassis and black olive flavors matched to dried savory accents Mocha and dark chocolate details show on the long richly spiced finish Drink now through cases made cases imported
1627,This red marries the ripe fruit and toasty oak of the international style with a savory rustic character A thick polished texture supported by well integrated tannins and balsamic acidity carries dark plum black pepper soy sauce and loamy earth flavors that are seamless and long Drink now through cases made cases imported
1628,A delicate and polished beauty with expressive violet and raspberry aromas that open to gracefully layered cherry and spiced cinnamon accents that build richness toward refined tannins Drink now through cases made
1629,This red has density and polish with cherry and red plum flavors accented by forest floor tobacco and licorice notes Solid and balanced Drink now through cases made cases imported
1630,Distinct with mustard flower yellow apple quince and jasmine notes mixed together carried on a slightly rounded waxy frame and ending with a flash of quinine Drink now through cases made
1631,Fragrant aromas and flavors of macerated peach chamomile and white raspberry are finely meshed in this elegant medium bodied white with mouthwatering acidity Bright and distinctive offering a lasting spice and saline laced finish Lightly chalky in texture Drink now through cases imported
1632,Sleek and elegantly rich with a vibrant backbone of polished tannins and bright acidity wrapped in expressive raspberry and orange zest flavors with sandalwood and other zesty spice notes Drink now through cases made
1633,Expressive and profound beautifully balancing oak and fruit and floral flavors Notes of apple mint heather and butter mingle in harmony supported by vivid acidity Picks up a bit of crunch toward the long mouthwatering finish adding to the interesting texture Best from through cases made cases imported
1634,A sleek minerally white with well cut acidity defining flavors of white peach pine and preserved lemon showing a rich hint of passion fruit coulis Fine and creamy offering a lasting finish Drink now through cases made cases imported
1635,The core black cherry and blackberry flavors are shaded by iron petrol and tar elements with wild Tuscan scrub accents This is powerful and tannic and needs some time to integrate Best from through cases imported
1636,Dynamic yet harmonious with expressive raspberry and rose petal aromas accented by flavors of orange peel and dusky spice Builds richness toward polished tannins Drink now through cases made
1637,This brawny red shows a savory character with loamy earth black tea and tobacco notes framing a rich core of currant and blackberry flavors The muscular tannins are balanced by juicy acidity Dense balanced and expressive Monastrell Cabernet Sauvignon and Syrah Drink now through cases made cases imported
1638,Expressive and harmonious this red exhibits cherry blackberry violet and mineral aromas and flavors Pure and elegant with an underlying tension and intensity that drives the lingering aftertaste of fruit stone and earth showing a hint of wild herbs Sangiovese Canaiolo Mammolo and Colorino Best from through cases made cases imported
1639,Shows ample torque at the core wrapped in multilayered flavors of blueberry and cherry accented by licorice garrigue and crushed rock notes finishing with brooding yet polished tannins Drink now through cases made
1640,Shows terrific concentration with dense and chewy tannins providing an appealing backdrop to the blueberry dried cherry date and candied ginger flavors Tobacco tomato leaf and espresso notes linger on the finish Drink now through cases imported
1641,A sumptuous and rich style with vibrant Asian pear fresh yeast roll and spiced nut flavors taking on a steely structure on the long finish Drink now cases made
1642,Offers a smoky aroma with refined raspberry and red currant flavors backed by crunchy acidity Savory midpalate with a fine grained finish that offers black licorice and tar notes Drink now through cases made cases imported
1643,Luscious rich and full of creamy white fruit flavors flanked by buttery accents Spicy plushness lingers into the finish with some honeyed notes Drink now through cases made
1644,Juicy and compact featuring dark plum and blackberry fruit flavors wrapped in sweet tobacco and licorice root notes Shows a tarry edge on the finish Drink now through cases made cases imported
1645,Firm showing off the region s signature fresh herbal notes which give this aromatic lift and linger on the finish Bay leaf rosemary and cedar details are effortlessly infused into the cassis and plum flavors A hint of black tea adds to the complexity as does the seamlessness of the velvety tannins Drink now through cases made cases imported
1646,High toned black currant black cherry and violet aromas and flavors are accented by vanilla and toast notes in this suave red Supple and intense with a lingering aftertaste of dark fruit licorice and spice Drink now through cases made cases imported
1647,Fine grained red fruit and berry flavors are refined and etched with rich spice and sandalwood accents The juicy finish lingers with vibrant minerality and hot stone notes Complex and elegant exhibiting a vibrant balance Drink now through cases made
1648,Broad and rich this Chianti Classico boasts black cherry blackberry violet and woodsy underbrush notes Turns taut and sinewy flexing tannic might on the finish Food or a little bottle age will help Best from through cases made cases imported
1649,A snappy and juicy version with melon grapefruit and lemon drop flavors that are well structured Zesty acidity lingers into the well spiced finish Drink now cases made cases imported
1650,Rich and contoured with ferrous notes to the well structured red currant dark cherry and dried blackberry flavors Supple minerality shows on the spicy finish where light creamy accents linger Best from through cases made
1651,Searing acidity flows behind the notes of glazed pear fig and quince with hints of blanched almond echoing Silky in texture with a savory mineral crunch this gets a bit tight midpalate but the acidity takes over and keeps this going on the long spice infused finish Could work now with the right food but better to wait a bit Best from through cases imported
1652,A knockout example of Dry Creek Zin this is briary yet polished and refined with lively raspberry grilled anise and cracked pepper flavors that build power and tension toward broad shouldered tannins Drink now through cases made
1653,Bursting with sweet ripe cherry and plum fruit this Gattinara also evokes salty licorice loam leather and rose hip notes Firm and balanced with a minerally aftertaste Drink now through cases made cases imported
1654,The deep rusty color announces that this is not a typical ros Distinctive offering tangy acidity and light firm tannins that frame the rich texture giving this plenty of structure for food Orange peel tarragon iodine and beeswax notes frame the dried cherry and tangerine flavors Unique Garnacho Tempranillo and Viura Drink now through cases made
1655,Explosively fruity aromas and flavors of blackberry dark cherry and plum tart are creamy and filled with rich savory and cooking spice accents Powerfully structured showing dark chocolate and mocha on the finish with hints of dried mint Drink now through cases made cases imported
1656,This starts slowly with black tea and sunbaked loam aromas leading off followed by a deep well of black currant fig and blackberry preserve flavors that form the core From there iron and espresso cream threads line the finish where the fruit drips slowly and the aromas linger seductively This will be a slow burn Cabernet Sauvignon Merlot and Cabernet Franc Best from through cases made
1657,Distinctive with blueberry and a a berry fruit flavors infused liberally with sassafras bay leaf and sweet spice notes A beautiful rendition of mountain fruit laced with racy acidity and carried by smoldering tannins Shows impressive detail and energy for a Best from through cases made
1658,This displays intensity and precision with notes of fleur de sel and sage underscoring grapefruit and white peach flavors Shows a bit of crunch in texture Long inviting and quite balanced Drink now through cases made cases imported
1659,A rich medium to full bodied red in a well tailored frame knitting saturated flavors of crushed boysenberry pomegranate black licorice toast and spice to fine grained tannins and a graphite laced underpinning that echoes on the finish Montepulciano and Sangiovese Best from through cases made cases imported
1660,Pure tasting red currant and raspberry flavors are supported by crunchy acidity in this juicy style Mineral and white pepper accents show midpalate with freshly crushed cooking spice details on the finish Drink now through cases imported
1661,An atypical version with a gorgeous mix of orchard blossom yellow apple and elderflower flavors showing hints of lemon Elegant yet very expressive driven by vibrant acidity and a minerally backbone Turns savory on the well defined finish Drink now through cases made cases imported
1662,Opens with supple and expressive red currant green olive and clove flavors then shifts gears and takes on increasingly muscular yet polished tannins on the long finish Merlot Cabernet Sauvignon Cabernet Franc and Petit Verdot Drink now through cases made
1663,Sleek and vibrant with snappy raspberry and red plum flavors accented by sweet basil and spice and finishing with fine grained tannins Drink now through cases made
1664,A lovely hint of honeysuckle accents the flavors of mirabelle plum white cherry anise and grated ginger in this vibrant Champagne which is finely knit and detailed in texture with a mouthwatering finish of ripe fruit spice and chalk accents Disgorged November Drink now through cases made cases imported
1665,Succulent and refreshing with Key lime preserved ginger and green apple candy flavors that are intense and focused Reveals a hint of toasted green tea on the juicy finish Drink now cases made cases imported
1666,A dark and winey style offering a mix of plum black currant and black cherry notes infused with black tea fruitcake and anise accents Solidly built vibrant and energetic from start to finish this carries copious fruit easily through the lengthy finish Grenache Cinsault Syrah Mourv dre and Counoise Best from through cases imported
1667,This offers blackberry boysenberry and a a berry compote flavors that sparkle with anise sassafras and sage accents Shows serious tarry grip but that recedes into the fruit as this airs in the glass leaving embers of singed juniper and alder at the very end Best from through cases made
1668,Sandalwood inflected dried cherry and berry flavors are filled with sanguine richness The lusciously spiced finish features a creamy texture Drink now through cases made cases imported
1669,Svelte and finely knit this vivid white is driven by both its minerally underpinning and its rapierlike acidic frame components well meshed with the pleasing range of pink grapefruit sorbet nectarine and grated ginger notes plus a touch of almond skin that imparts a light tactile sensation to the racy finish Drink now through cases made cases imported
1670,Elegant with dark plum and currant notes that are lively and balanced due to a bright beam of acidity and soft tannins lending support and depth Not a big Cabernet but one that would pair well with a variety of foods Best from through cases made cases imported
1671,A spry and appealing red with lively black cherry and dried sage flavors that add richness toward fine grained tannins Drink now through cases made
1672,Ruby grapefruit passionfruit and green apple flavors are vibrant and expressive on a juicy frame Shows off terrific transparency to the fruit flavors and a long finish where a touch of Dragonwell green tea peeks through Drink now cases made cases imported
1673,A minerally version creamy and medium bodied with tangy acidity and a zesty edge to the flavors of poached pear apricot tart and anise showing a hint of toasted almond that echoes on the finish Drink now through cases imported
1674,A whiff of white pepper and bay leaf gives way to bright raspberry and currant flavors backed by tangy acidity along with details of game anise and tea that add depth and interest Powerful but inviting Mourv dre and Grenache Drink now through cases made
1675,Apricot and tangerine flavors are set on the fine mousse of this expressive Cava layered with hints of pastry cream toasted almond and candied ginger Fresh and zesty on the lingering finish Drink now through cases made cases imported
1676,Distinctive with vibrant flavors of violet juniper and anise out front backed by a core of intense dark currant plum and cherry fruit Firmly grounded showing serious cut and drive through the bay leaf and sage accented finish which sports ample toast alongside the fruit and floral elements A chiseled ripped Cabernet for the cellar Cabernet Sauvignon Merlot Petit Verdot and Cabernet Franc Best from through cases made
1677,Very pure with clearly defined plum blackberry and black cherry preserve flavors gliding through gently infused with anise and black tea details along the way The fruit is so seductive you might miss the sneaky graphite edged grip that builds through the finish promising solid cellaring potential Merlot Cabernet Sauvignon and Cabernet Franc Best from through cases made
1678,Supple and elegantly layered with pretty raspberry spiced cinnamon and black tea flavors that flesh out on a long finish Drink now through cases made
1679,Rich with flint and sea salt notes to the dried fig quince and preserved lemon flavors followed by egg cream accents on the well spiced finish Drink now through cases made
1680,Juicy energy ripples from start to finish with gooseberry yellow apple chamomile tarragon and verbena notes giving this a tangy and flattering character Reveals a long salted butter edge on the finish Lovely now but will fan out and become plumper with time Sauvignon Blanc S millon and Sauvignon Gris Best from through cases made
1681,Well balanced and fresh this medium bodied red features a thread of ground spice that underscores flavors of crushed black raspberry cherry thyme and red licorice Light tannins sculpt the clean cut finish Drink now through cases imported
1682,Glossy full tannins encase the brooding layers of dark cherry reduction and steeped currant infused with sandalwood anise and mocha details This has nice elegance despite the power with black tea and floral notes chiming in on the finish Kosher Drink now through cases made cases imported
1683,Very bright and engaging style with a flurry of honeysuckle and acacia notes out front followed quickly by lively white peach Jonagold apple and star fruit flavors Light quinine inlay adds an extra note of intrigue Lovely Drink now through cases made
1684,Quite juicy with wild cherry hibiscus and black tea notes that are in good harmony supported by light tannins and prominent acidity Offers a beautiful mouthfeel that coats the palate and invites you back for another sip Drink now through cases imported
1685,Lively acidity cuts through the bright cherry and currant notes of this mouthwatering red showing details of white pepper wet stone and dried herb that dovetail onto the finish Offers light integrated tannins with great energy and focus throughout Drink now through cases imported
1686,A generous harmonious red boasting steeped cherry blackberry coulis and cedar flavors that meld into violet black tea and graphite accents Details of olive wild herb and ripe currant play into the finish Powerful and refined Best from through cases made cases imported
1687,Svelte and seamlessly complex featuring refined cherry and blueberry flavors with hints of lead pencil and spice that build energy toward polished tannins Cabernet Franc Merlot and Cabernet Sauvignon Drink now through cases made
1688,This packs in some bramble black cherry and blackberry fruit flavors harnessing them with a singed alder frame and keeping them moving along with fresh acidity Cabernet Sauvignon Merlot and Petit Verdot Drink now through cases made
1689,A very expressive medium bodied version with lots of flesh offset by powerful acidity that gives this ample energy and drive Notes of jasmine hops yellow plum and kumquat impart charm midpalate while hints of shaved ginger and lemon oil linger on the long well defined finish Best from through cases made cases imported
